lnr,forening,name,kommune,year,tonnes,method,lime,nve_nr,utm33_north,utm33_east,lat,lon
859,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2013,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
860,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2014,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
861,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2015,30.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
862,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2016,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
863,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2017,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
864,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2018,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
865,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2019,34.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
866,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2020,34.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
867,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2021,30.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
815,Førevann Fiskelag (A-Agder),Førevatnet,Birkenes,2022,35.0,Båt,Kalksteinmel,1335,6518976,99722,58.6256,8.09989
876,Uråna Fiskelag,Gangvatn,Arendal,2001,15.5,Båt,Kalksteinmel,10636,6501036,122118,58.4855,8.51279
877,Uråna Fiskelag,Gangvatn,Arendal,2002,13.0,Båt,Kalksteinmel,10636,6501036,122118,58.4855,8.51279
878,Uråna Fiskelag,Gangvatn,Arendal,2003,15.0,Båt,Kalksteinmel,10636,6501036,122118,58.4855,8.51279
879,Uråna Fiskelag,Gangvatn,Arendal,2004,16.0,Båt,Kalksteinmel,10636,6501036,122118,58.4855,8.51279
971,Grimevann Fiskelag,Grimevatnet Vestre,Lillesand,2001,35.4,Båt,Kalksteinmel,11092,6483757,110707,58.3214,8.34764
972,Grimevann Fiskelag,Grimevatnet Vestre,Lillesand,2002,40.0,Båt,Kalksteinmel,11092,6483757,110707,58.3214,8.34764
973,Grimevann Fiskelag,Grimevatnet Vestre,Lillesand,2003,40.0,Båt,Kalksteinmel,11092,6483757,110707,58.3214,8.34764
974,Grimevann Fiskelag,Grimevatnet Vestre,Lillesand,2004,35.0,Båt,Kalksteinmel,11092,6483757,110707,58.3214,8.34764
975,Grimevann Fiskelag,Grimevatnet Vestre,Lillesand,2005,35.0,Båt,Kalksteinmel,11092,6483757,110707,58.3214,8.34764
1144,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2001,110.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
1145,Haukom og Ljosevannet Fiskelag,Haukomvatnet,Birkenes,2002,90.0,Båt,Kalksteinmel,1334,6510208,98561,58.5463,8.09553
